page,token,pos,counts,cumulative_sum
141,cold,JJ,3,3
188,walker,NNP,3,3
94,even,RB,3,12
188,forming,VBG,3,3
12,oh,UH,3,3
141,little,JJ,3,30
78,bourse,NNP,3,3
183,along,IN,3,3
199,could,MD,3,23
81,ancient,JJ,3,3
141,say,VBP,3,9
192,ropes,NNS,3,13
81,modern,JJ,3,13
196,commonplace,NN,3,3
145,accent,NN,3,6
88,even,RB,3,15
188,men,NNS,3,30
138,man,NN,3,60
250,soul,NN,3,7
181,may,MD,3,29
145,modern,JJ,3,16
202,new,JJ,3,12
184,land,NN,3,3
186,across,IN,3,3
78,table,NN,3,3
144,men,NNS,3,33
74,misanthrope,NN,3,3
86,would,MD,3,67
251,book,NN,3,7
253,little,JJ,3,33
139,say,VBP,3,12
86,rural,JJ,3,3
88,initial,JJ,3,3
183,sail,NN,3,3
94,poet,NN,3,12
85,baron,NNP,3,3
249,true,JJ,3,9
17,tu,FW,3,3
144,past,NN,3,3
72,one,CD,3,101
201,wood,NN,3,3
249,would,MD,3,70
252,fame,NN,3,3
139,sufficiency,NN,3,3
73,would,MD,3,73
249,fame,NN,3,6
203,time,NN,3,6
194,german,JJ,3,7
76,word,NN,3,23
69,tower,NN,3,3
93,verse,NN,3,30
83,list,NN,3,3
200,one,CD,3,104
250,little,JJ,3,36
187,first,JJ,3,9
198,ratio,NN,3,3
84,showing,VBG,3,3
139,never,RB,3,10
197,little,JJ,3,39
92,also,RB,3,18
252,sake,NN,3,3
198,ultima,FW,3,3
139,without,IN,3,7
93,good,JJ,3,36
76,thing,NN,3,25
201,man,NN,3,63
197,script,NN,3,3
191,ropes,NNS,3,16
189,rope,NN,3,10
189,never,RB,3,13
200,german,JJ,3,10
146,speech,NN,3,3
76,one,CD,3,107
224,sister,NN,2,2
88,every,DT,2,8
87,esquire,NNP,2,2
114,play,VB,2,2
166,said,VBD,2,39
165,steamer,NN,2,5
88,would,MD,2,75
116,habit,NN,2,2
46,occasional,JJ,2,2
166,whether,IN,2,2
195,time,NN,2,8
88,unfortunate,JJ,2,2
225,letter,NN,2,2
224,friend,NN,2,5
224,glad,JJ,2,2
47,reader,NN,2,2
223,many,JJ,2,10
47,learned,VBN,2,5
79,piece,NN,2,2
113,obligation,NN,2,2
78,air,NN,2,2
116,think,VBP,2,5
44,would,MD,2,77
194,without,IN,2,9
78,time,NN,2,10
226,way,NN,2,5
113,word,NN,2,25
166,came,VBD,2,2
113,occasion,NN,2,2
226,article,NN,2,5
186,come,VBN,2,2
116,country,NN,2,9
166,another,DT,2,11
46,original,JJ,2,2
44,horse,NN,2,6
186,modern,JJ,2,18
164,town,NN,2,8
116,opposition,NN,2,2
194,never,RB,2,15
165,may,MD,2,31
186,picture,NN,2,5
88,trouble,NN,2,2
225,great,JJ,2,29
225,proved,VBN,2,2
114,enough,RB,2,2
87,large,JJ,2,2
113,done,VBN,2,10
45,upon,IN,2,29
115,truth,NN,2,9
44,matter,NN,2,8
187,would,MD,2,79
79,still,RB,2,6
225,bibliography,NN,2,2
44,wine,NN,2,7
115,first,JJ,2,11
45,flourish,VB,2,2
225,whole,JJ,2,2
114,ever,RB,2,2
45,two,CD,2,14
165,nose,NN,2,2
45,mankind,NN,2,2
114,follow,VB,2,2
187,people,NNS,2,16
195,firing,NN,2,2
225,article,NN,2,7
115,conviction,NN,2,2
195,though,IN,2,9
225,caddishness,NN,2,2
165,ship,NN,2,2
114,proof,NN,2,2
88,writing,VBG,2,2
79,form,VB,2,2
46,man,NN,2,65
165,one,CD,2,109
46,serpent,NN,2,2
195,range,NN,2,2
164,day,NN,2,11
46,reinforcement,NN,2,2
226,subject,NN,2,5
116,would,MD,2,81
224,say,VB,2,14
44,think,VB,2,7
195,elevation,NN,2,2
164,went,VBD,2,2
224,type,NN,2,2
114,take,VB,2,10
79,whose,WP$,2,5
44,even,RB,2,17
114,final,JJ,2,2
164,piece,NN,2,4
224,one,CD,2,111
114,convinced,VBN,2,2
79,men,NNS,2,35
186,place,NN,2,7
87,military,JJ,2,5
113,say,VB,2,16
204,moral,JJ,2,2
113,make,VB,2,9
111,interest,NN,2,2
110,one,CD,2,113
220,another,DT,2,13
110,advocacy,NN,2,2
110,made,VBN,2,5
50,part,NN,2,2
220,rather,RB,2,6
50,kept,VBN,2,2
185,upon,IN,2,31
110,time,NN,2,12
110,get,VB,2,2
220,brown,JJ,2,2
50,desire,NN,2,2
168,came,VBD,2,4
220,mottled,JJ,2,2
197,gun,NN,2,24
77,railway,NN,2,2
50,answer,VB,2,2
220,mule,NN,2,2
167,could,MD,2,25
197,crown,NN,2,2
49,may,MD,2,33
111,illustration,NN,2,2
